pickup_hour,abs_error
0,166.60073075782012
1,147.9036047840507
2,170.19531733657766
3,174.4746112802317
4,136.46434189607282
5,122.04573930868187
6,121.56322809344414
7,156.2201235789173
8,202.1159067039384
9,194.50002248966751
10,199.66338193416595
11,208.33621429228316
12,223.11054831228094
13,224.8601175232861
14,246.5933615856833
15,233.97111045973207
16,268.4518351784877
17,246.30479164526997
18,214.00455434374393
19,171.00171693907907
20,161.2902893953924
21,162.7246476933671
22,181.25822498014472
23,167.2123851219008
