model,feature_set,rmse_log,rmse_sec,mae_sec
xgboost,full,0.3242753210124752,778.900355792987,195.0608450146682
hist_gradient_boosting,full,0.33596408397597083,783.3701606310098,202.27001889304762
lightgbm,full,0.33658281583851124,783.3923865078378,202.59003889906057
random_forest,full,0.338903618044512,786.2450999962783,204.05816266743778
decision_tree,full,0.35707253165621367,792.6510061478788,216.87561318417124
ridge_regression,full,0.5122602290146877,1370.894608236236,370.14350302259527
linear_regression,full,0.5122619313577255,1371.1360662725922,370.15866137598715
linear_regression,distance_only,0.5403696562299932,1122.5628484472318,373.89551186043064
fixed_speed_16.5kmh,manhattan_km,0.5433816504095877,1028.178538127405,424.01408137864246
median_duration,none,0.7427968553193067,1050.143340683551,482.0772848869683
mean_log_duration,none,0.7437624136133286,1053.2258426660544,482.81642913451253
